strain	date	country	region	clade_membership	author	accession	location	database
035-0023	2023-11-29	France	Europe	A.D.3.1	Fourati,S.,Rameix Welti,M.-A.	PQ763137		
011-0025	2023-12-03	France	Europe	A.D.3.1	Fourati,S.,Rameix Welti,M.-A.	PQ762741		
040-0017	2023-11-26	France	Europe	A.D.3.1	Fourati,S.,Rameix Welti,M.-A.	PQ762991		
009-0030	2023-12-03	France	Europe	A.D.3.1	Fourati,S.,Rameix Welti,M.-A.	PQ763055		
ASU101594	2022-12-08	USA	North America	A.D.3.1	Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.	OR143144		
RSVA/human/USA/WA-USAFSAM-R00032/2022	2022-12-14	USA	North America	A.D.3.1	Fries,A.,Padraic,F.,Jennifer,M.,Kelsey,L.,William,G.,Deanna,M.,Sarah,P.,Elizabeth,M.	PP681261		
RSVA/human/USA/WA-USAFSAM-R00033/2022	2022-12-14	USA	North America	A.D.3.1	Fries,A.,Padraic,F.,Jennifer,M.,Kelsey,L.,William,G.,Deanna,M.,Sarah,P.,Elizabeth,M.	PP681262		
hRSV-A-G43R44N9	2023-12-05	USA	North America	A.D.3.1	Lauring,A.S.,Papalambros,L.K.	PP270266		
hRSV-A-G43R44R2	2023-12-03	USA	North America	A.D.3.1	Lauring,A.S.,Papalambros,L.K.	PP270277		
MN-MDH-RSVA-00730	2024-02-01	USA	North America	A.D.3.1	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP957743		
MN-MDH-RSVA-00906	2024-02-24	USA	North America	A.D.3.1	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP978517		
MN-MDH-RSVA-00546	2024-01-18	USA	North America	A.D.3.1	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP847388		
MN-MDH-RSVA-00927	2024-03-12	USA	North America	A.D.3.1	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP978538		
hRSV/A/Germany/19-01162/2018	2018-12-31	Germany	Europe	A.D.3	Kondgen,S.,Reiche,J.	OR795370		
RSVA/20200035/BJ/CHN/2020.01.09	2020-01-09	China	Asia	A.D.3	Li,F.,Zhu,Y.,Chen,X.	OR666552		
017-0002	2023-12-15	France	Europe	A.D.3	Fourati,S.,Rameix Welti,M.-A.	PQ762799		
017-0001	2023-12-15	France	Europe	A.D.3	Fourati,S.,Rameix Welti,M.-A.	PQ762798		
hRSV/A/Germany/22-00724/2021	2021-10-19	Germany	Europe	A.D.3	Kondgen,S.,Reiche,J.	OR795432		
PP411979	2023-08-13	Thailand	Asia	A.D.3	Doung-ngern,P.,Kripattanapong,S.,Rattanatumhi,K.,Supataragul,A.,Thippamom,N.,Khunnawutmanotham,W.,Hirunpatrawong,P.,Wacharapluesadee,S.,Sereewit,J.,Sobolik,E.B.,Roychoudhury,P.,Greninger,A.L.,Putcharoen,O.	PP411979		
RSVA/Novosibirsk/7.69Hl/2022	2021-10-18	Russia	Europe	A.D.3	Solomatina,M.V.,Kurskaya,O.G.,Kabilov,M.R.,Tupikin,A.E.,Saroyan,T.A.,Derko,A.A.,Dubovitskiy,N.A.,Sobolev,I.A.,Shestopalov,A.M.,Sharshov,K.A.	ON152648		
hRSV/A/Panama/ICGES-361/2024	2024-06-12	Panama	North America	A.D.3	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618057		
RSV/Human/USA/MA-Broad_MGB-13809/2022	2022-07-20	USA	North America	A.D.3	Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.	OQ171900		
hRSV-A-W13K31L5	2022-10-11	USA	North America	A.D.3	Gilbert,J.,Lauring,A.S.,Papalambros,L.K.	OR872636		
RSV/Human/USA/MA-Broad_MGB-13729/2022	2022-11-14	USA	North America	A.D.3	Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.	OQ024157		
ASU102711	2022-12-06	USA	North America	A.D.3	Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.	OR143177		
ASU102754	2022-11-30	USA	North America	A.D.3	Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.	OR143207		
RSV/Human/USA/MA-Broad_MGB-13714/2022	2022-11-03	USA	North America	A.D.3	Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.	OQ024122		
hRSV/A/Panama/ICGES-147/2023	2023-02-27	Panama	North America	A.D.3	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618059		
hRSV/A/Panama/ICGES-343/2023	2023-08-11	Panama	North America	A.D.3	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618058		
RSV/Human/USA/MA-Broad_MGB-13666/2022	2022-11-05	USA	North America	A.D.3	Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.	OQ024135		
A18321091	2022-11-29	Ireland	Europe	A.D.3	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP970011		
RSV/Human/USA/MA-Broad_MGB-13723/2022	2022-11-14	USA	North America	A.D.3	Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.	OQ024138		
RSV/Human/USA/MA-Broad_MGB-13725/2022	2022-11-14	USA	North America	A.D.3	Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.	OQ024143		
H20-360-0626	2024-03-11	USA	North America	A.D.3	Rothstein,A.P.,Qiu,X.,Collins,S.,Muir,G.,Simas,A.,Sum,A.,Lu,B.,Cosca,B.,Girinathan,B.,Leeson,P.,Phillipson,C.W.,Plocik,A.,Simen,B.	PQ117650		
2024-01VA01	2024-01-11	China	Asia	A.D.3	Wei,X.,Wang,L.,Li,M.,Qi,J.,Kang,L.,Hu,G.,Gong,C.,Wang,C.,Wang,Y.,Huang,F.,Gao,G.F.	PP974160		
HRSV/A/Japan/23U044iso/2024	2024-06-19	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862029		
HRSV/A/Japan/23U043iso/2024	2024-06-19	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862028		
HRSV/A/Japan/23U019iso/2024	2024-05-07	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862023		
HRSV/A/Japan/23U038iso/2024	2024-06-07	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862025		
HRSV/A/Japan/22U049iso/2023	2023-01-04	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862048		
HRSV/A/Japan/22U001iso/2022	2022-09-02	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862040		
HRSV/A/Japan/22U009iso/2022	2022-09-20	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862042		
LC816567	2022-10-26	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC816567		
HRSV/A/Japan/22U032iso/2022	2022-10-26	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862046		
035-0027	2023-12-04	France	Europe	A.D.3.3	Fourati,S.,Rameix Welti,M.-A.	PQ762940		
PP352334	2022-10-31	USA	North America	A.D.3.3	Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.	PP352334		
PP352363	2022-11-01	USA	North America	A.D.3.3	Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.	PP352363		
HRSV/A/USA/TX-HOU-216606/2023	2023-11-22	USA	North America	A.D.3.3	Avadhanula,V.,Sahni,L.,Surathu,A.,Cregeen,S.J.,Doddapaneni,H.,Metcalf,G.A.,Tannis,A.,Moline,H.,Boom,J.,Piedra,P.	PP795151		
hRSV/A/Panama/ICGES-54/2022	2022-10-31	Panama	North America	A.D.3.3	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618055		
hRSV/A/Panama/ICGES-16/2022	2022-05-23	Panama	North America	A.D.3.3	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618056		
hRSV-A-G43Q59Q3	2023-05-08	USA	North America	A.D.3.3	Lauring,A.S.,Papalambros,L.K.,Fitzsimmons,W.J.,Gilbert,J.	OR882972		
MN-MDH-RSVA-00316	2023-12-22	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP709379		
RSV-A/human/USA/WA-S25233/2021	2021-06-17	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,Mcdermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PP748752	King County WA	
RSVA/human/USA/AK-USAFSAM-R00035/2022	2022-12-12	USA	North America	A.D.3.3	Fries,A.,Padraic,F.,Jennifer,M.,Kelsey,L.,William,G.,Deanna,M.,Sarah,P.,Elizabeth,M.	PP681264		
hRSV-A-G43Q80C0	2023-08-13	USA	North America	A.D.3.3	Lauring,A.S.,Papalambros,L.K.	OR915772		
hRSV-A-G43S24L3	2024-04-12	USA	North America	A.D.3.3	Lauring,A.S.,Papalambros,L.K.	PP903815		
WA-UW-71177	2023-11-25	USA	North America	A.D.3.3	Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.	PQ390740		
RSV-A/human/USA/WA-S25769/2023	2023-10-29	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638720		
WA-SCH-5289344	2024-01-22	USA	North America	A.D.3.3	Roychoudhury,P.,Klein,E.J.,Strelitz,B.,Grioni,H.,Moline,H.L.,Tannis,A.,Ellis,S.E.,Xie,H.,Kong,K.,Sereewit,J.,Greninger,A.,Englund,J.A.	PP770459		
RSV-A/human/USA/WA-S26019/2023	2023-12-12	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638784		
NIN-453	2021-10-19	United Kingdom	Europe	A.D.3.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348854		
RSV-A/human/USA/MA-Broad_BWH-20937/2024	2024-02-01	USA	North America	A.D.3.3	Paull,J.,Messer,K.,Adams,G.,Nabatanzi,D.,Dobbins,S.,Tomkins-Tinch,C.,Mboowa,G.,Luebbert,L.,Worby,C.,Wewior,N.,Samani,P.,DeRuff,K.,Blumenstiel,B.,Moreno,G.,Earl,A.,Gnirke,A.,MacInnis,B.,Sabeti,P.,Lemieux,J.,Park,D.	PV178251		
RSVLO907	2022-10-17	United Kingdom	Europe	A.D.3.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348895		
RSVLO895	2022-10-13	United Kingdom	Europe	A.D.3.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348893		
RSVLO886	2022-10-10	United Kingdom	Europe	A.D.3.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348892		
WA-UW-35797	2024-01-03	USA	North America	A.D.3.3	Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.	PP530269		
WA-UW-74811	2023-11-25	USA	North America	A.D.3.3	Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.	PQ390742		
WA-UW-61667	2024-01-10	USA	North America	A.D.3.3	Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.	PP959047		
WA-SCH-9354913	2024-02-29	USA	North America	A.D.3.3	Roychoudhury,P.,Klein,E.J.,Strelitz,B.,Grioni,H.,Moline,H.L.,Tannis,A.,Ellis,S.E.,Xie,H.,Kong,K.,Sereewit,J.,Greninger,A.,Englund,J.A.	PP776593		
WA-UW-44979	2023-12-15	USA	North America	A.D.3.3	Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.	PP530264		
WA-UW-02898	2024-02-20	USA	North America	A.D.3.3	Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.	PP959040		
MN-MDH-RSVA-00175	2023-11-28	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP401819		
MN-MDH-RSVA-00325	2023-12-05	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP709370		
MN-MDH-RSVA-00344	2023-12-04	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP709369		
MN-MDH-RSVA-00516	2023-12-22	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP847358		
MN-MDH-RSVA-00452	2023-12-16	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP830387		
MN-MDH-RSVA-00327	2024-01-04	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP709392		
MN-MDH-RSVA-00326	2023-12-26	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP709385		
MN-MDH-RSVA-00328	2024-01-03	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP709395		
RSV-A/human/USA/MA-Broad_BWH-17973/2023	2023-12-28	USA	North America	A.D.3.3	Paull,J.,Messer,K.,Adams,G.,Nabatanzi,D.,Dobbins,S.,Tomkins-Tinch,C.,Mboowa,G.,Luebbert,L.,Worby,C.,Wewior,N.,Samani,P.,DeRuff,K.,Blumenstiel,B.,Moreno,G.,Earl,A.,Gnirke,A.,MacInnis,B.,Sabeti,P.,Lemieux,J.,Park,D.	PV178405		
MN-MDH-RSVA-00676	2024-03-11	USA	North America	A.D.3.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP934458		
WA-SCH-2065182	2024-02-14	USA	North America	A.D.3.3	Roychoudhury,P.,Klein,E.J.,Strelitz,B.,Grioni,H.,Moline,H.L.,Tannis,A.,Ellis,S.E.,Xie,H.,Kong,K.,Sereewit,J.,Greninger,A.,Englund,J.A.	PP770466		
WA-SCH-5527864	2024-01-19	USA	North America	A.D.3.3	Roychoudhury,P.,Klein,E.J.,Strelitz,B.,Grioni,H.,Moline,H.L.,Tannis,A.,Ellis,S.E.,Xie,H.,Kong,K.,Sereewit,J.,Greninger,A.,Englund,J.A.	PP770461		
RSV-A/human/USA/WA-S25764/2023	2023-10-11	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638715		
RSV-A/human/USA/WA-S26025/2023	2023-11-11	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638790		
RSV-A/human/USA/WA-S25767/2023	2023-10-19	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638718		
RSV-A/human/USA/WA-S24683/2023	2023-12-05	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP342423	Snohomish County	
RSV-A/human/USA/WA-S24690/2023	2023-12-09	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP342430	Snohomish County	
RSV-A/human/USA/WA-S26034/2023	2023-11-02	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638799		
RSV-A/human/USA/WA-S24497/2023	2023-11-15	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP084061	King County WA	
RSV-A/human/USA/WA-S25509/2023	2023-11-10	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Stone,J.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PQ008879	King County WA	
WA-SCH-4975864	2024-01-31	USA	North America	A.D.3.3	Roychoudhury,P.,Klein,E.J.,Strelitz,B.,Grioni,H.,Moline,H.L.,Tannis,A.,Ellis,S.E.,Xie,H.,Kong,K.,Sereewit,J.,Greninger,A.,Englund,J.A.	PP770452		
RSV-A/human/USA/WA-S24685/2023	2023-12-06	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP342425	King County WA	
RSV-A/human/USA/WA-S24684/2023	2023-12-05	USA	North America	A.D.3.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP342424	King County WA	
MT422271	2019-12-12	Russia	Europe	A.D.3	Dubovitskiy,N.A.,Sobolev,I.A.,Kurskaya,O.G.,Sharshov,K.A.,Anoshina,A.V.,Leonova,N.V.,Murashkina,T.A.,Solomatina,M.V.,Derko,A.A.,Saroyan,T.A.,Kabilov,M.R.,Alikina,T.Y.,Shestopalov,A.M.	MT422271		
2023-02R1503	2024-01-11	China	Asia	A.D.3	Wei,X.,Wang,L.,Li,M.,Qi,J.,Kang,L.,Hu,G.,Gong,C.,Wang,C.,Wang,Y.,Huang,F.,Gao,G.F.	PP974165		
2023-12R0357	2023-12-20	China	Asia	A.D.3	Wei,X.,Wang,L.,Li,M.,Qi,J.,Kang,L.,Hu,G.,Gong,C.,Wang,C.,Wang,Y.,Huang,F.,Gao,G.F.	PP974166		
2021-R1982	2021-12-15	China	Asia	A.D.3	Wei,X.,Wang,L.,Li,M.,Qi,J.,Kang,L.,Hu,G.,Gong,C.,Wang,C.,Wang,Y.,Huang,F.,Gao,G.F.	PP974151		
