strain	date	subclade_membership	clade_membership	country	author	accession	location	database	region
GS_00AEYV7.1	2024-05-20	C.1.9	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AEYV7.1			
GS_00AHCQW.1	2024-05-18	C.1.9	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AHCQW.1			
m2-8ochGa	2024-06-10	C.1.9	5a.2a	Switzerland		m2-8ochGa	BL	ReVSeq	Europe
GS_009WMM2.1	2023-12-06	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009WMM2.1			
GS_009YAUV.1	2023-11-15	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009YAUV.1			
GS_009ZEZD.1	2023-10-30	C.1.9	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_009ZEZD.1			
GS_009YADS.1	2023-11-09	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009YADS.1			
GS_009YACU.1	2023-11-07	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009YACU.1			
GS_00A1R3R.1	2024-01-23	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A1R3R.1			
GS_00A5YN5.1	2024-03-11	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A5YN5.1			
m2-YowhiU	2024-02-16	C.1.9	5a.2a	Switzerland		m2-YowhiU	AG	ReVSeq	Europe
GS_00A0JLZ.1	2024-01-25	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0JLZ.1			
GS_00A9MFP.1	2024-03-08	C.1.9	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A9MFP.1			
GS_009W3ML.1	2024-01-22	C.1.9	5a.2a	Switzerland		GS_009W3ML.1			
GS_009W4E0.1	2024-01-24	C.1.9	5a.2a	Switzerland		GS_009W4E0.1			
GS_00A9R2B.1	2024-03-11	C.1.9	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A9R2B.1			
GS_00A26HD.1	2024-02-06	C.1.9	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A26HD.1			
GS_00A4S2L.1	2023-12-31	C.1.9	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00A4S2L.1			
m2-YYRzxL	2024-02-21	C.1.9	5a.2a	Switzerland		m2-YYRzxL	AG	ReVSeq	Europe
GS_009W32R.1	2024-02-16	C.1.9	5a.2a	Switzerland		GS_009W32R.1			
m2-UqhsDL	2023-12-23	C.1.9	5a.2a	Switzerland		m2-UqhsDL	BS	ReVSeq	Europe
GS_009W3C5.1	2024-01-29	C.1.9.2	5a.2a	Switzerland		GS_009W3C5.1			
GS_00AGZ0T.1	2024-04-21	C.1.9.2	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AGZ0T.1			
m2-kBgpZ4	2024-01-16	C.1.9.2	5a.2a	Switzerland		m2-kBgpZ4	VD	ReVSeq	Europe
m2-FHPnrx	2024-01-17	C.1.9.2	5a.2a	Switzerland		m2-FHPnrx	BL	ReVSeq	Europe
GS_00A0YS7.1	2024-02-01	C.1.9.2	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A0YS7.1			
m2-4t7Ncr	2024-01-31	C.1.9.2	5a.2a	Switzerland		m2-4t7Ncr	BL	ReVSeq	Europe
GS_009W4D2.1	2024-01-15	C.1.9.2	5a.2a	Switzerland		GS_009W4D2.1			
m2-9HhvMh	2024-01-18	C.1.9.2	5a.2a	Switzerland		m2-9HhvMh	BL	ReVSeq	Europe
GS_009W34M.1	2024-03-01	C.1.9.2	5a.2a	Switzerland		GS_009W34M.1			
GS_009W40U.1	2024-01-16	C.1.9.2	5a.2a	Switzerland		GS_009W40U.1			
m2-jHbrsp	2024-02-20	C.1.9.2	5a.2a	Switzerland		m2-jHbrsp	GR	ReVSeq	Europe
m2-x6NRYc	2024-01-16	C.1.9.2	5a.2a	Switzerland		m2-x6NRYc	SO	ReVSeq	Europe
GS_00A1QHX.1	2023-12-21	C.1.9.2	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A1QHX.1			
m2-URVR7h	2024-01-19	C.1.9.2	5a.2a	Switzerland		m2-URVR7h	BL	ReVSeq	Europe
m2-39kc9U	2024-01-19	C.1.9.2	5a.2a	Switzerland		m2-39kc9U	GE	ReVSeq	Europe
GS_00A104E.1	2024-02-06	C.1.9.2	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A104E.1			
m2-gsuEGK	2024-02-16	C.1.9.2	5a.2a	Switzerland		m2-gsuEGK	GR	ReVSeq	Europe
m2-MHWQwo	2024-01-11	C.1.9.2	5a.2a	Switzerland		m2-MHWQwo	VD	ReVSeq	Europe
GS_009W3W2.1	2024-02-23	C.1.9.2	5a.2a	Switzerland		GS_009W3W2.1			
m2-hzNQRG	2024-02-01	C.1.9.2	5a.2a	Switzerland		m2-hzNQRG	BL	ReVSeq	Europe
GS_009W3A9.1	2024-02-06	C.1.9.2	5a.2a	Switzerland		GS_009W3A9.1			
GS_00A5U84.1	2024-02-23	C.1.9.2	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A5U84.1			
GS_00AKWNC.1	2024-02-07	C.1.9.2	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AKWNC.1			
m2-3VC6ft	2024-01-30	C.1.9.2	5a.2a	Switzerland		m2-3VC6ft	AG	ReVSeq	Europe
m2-SpXNmN	2024-01-29	C.1.9.2	5a.2a	Switzerland		m2-SpXNmN	BL	ReVSeq	Europe
GS_009W4MK.1	2024-02-05	C.1.9.2	5a.2a	Switzerland		GS_009W4MK.1			
GS_00A7TTW.1	2024-03-29	C.1.9.2	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A7TTW.1			
GS_00A249Y.1	2024-02-06	C.1.9.2	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A249Y.1			
GS_00A24AW.1	2024-02-06	C.1.9.2	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A24AW.1			
GS_009YQCE.1	2023-12-28	C.1.9.2	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_009YQCE.1			
GS_00ABL48.1	2024-04-05	C.1.9.2	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00ABL48.1			
m2-2b8YpQ	2024-02-16	C.1.9.2	5a.2a	Switzerland		m2-2b8YpQ	BL	ReVSeq	Europe
GS_00A252B.1	2024-02-21	C.1.9.2	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A252B.1			
m2-yhE88h	2024-03-01	C.1.9.2	5a.2a	Switzerland		m2-yhE88h	TI	ReVSeq	Europe
GS_00AKTQB.1	2024-06-05	C.1.9.2	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AKTQB.1			
GS_00A7TYL.1	2024-03-21	C.1.9.2	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A7TYL.1			
GS_00AJ4LA.1	2024-07-01	C.1.9.2	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00AJ4LA.1			
m2-ZAyjrq	2023-12-18	C.1.9.2	5a.2a	Switzerland		m2-ZAyjrq	BS	ReVSeq	Europe
m2-voFSf6	2024-01-26	C.1.9.2	5a.2a	Switzerland		m2-voFSf6	BS	ReVSeq	Europe
GS_00AH2ET.1	2023-12-25	C.1.9.2	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AH2ET.1			
GS_009YQBG.1	2023-12-26	C.1.9.2	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_009YQBG.1			
GS_009YQDC.1	2024-01-03	C.1.9.2	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_009YQDC.1			
GS_00A0K4X.1	2024-01-08	C.1.9.2	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_00A0K4X.1			
m2-opfXjQ	2024-01-11	C.1.9.2	5a.2a	Switzerland		m2-opfXjQ	AG	ReVSeq	Europe
GS_009W49A.1	2024-01-15	C.1.9.2	5a.2a	Switzerland		GS_009W49A.1			
m2-fhoncL	2024-02-02	C.1.9.2	5a.2a	Switzerland		m2-fhoncL	AG	ReVSeq	Europe
GS_00ALW2H.1	2024-01-30	C.1.9.2	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00ALW2H.1			
GS_00AKV4G.1	2024-02-12	C.1.9.2	5a.2a	USA	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.	GS_00AKV4G.1			
GS_009W3ZW.1	2024-02-26	C.1.9.2	5a.2a	Switzerland		GS_009W3ZW.1			
m2-sFFUfJ	2024-03-14	C.1.9.2	5a.2a	Switzerland		m2-sFFUfJ	SG	ReVSeq	Europe
GS_009W4B6.1	2024-03-11	C.1.9.2	5a.2a	Switzerland		GS_009W4B6.1			
