strain	date	location	subclade_membership	clade_membership	country	database	region	accession	author
GS_0092JPQ.1	2022-12-11		D	5a.2a.1	USA			GS_0092JPQ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092P7J.1	2022-12-15		D	5a.2a.1	USA			GS_0092P7J.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092HTH.1	2022-12-15		D	5a.2a.1	USA			GS_0092HTH.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092P8G.1	2022-12-15		D	5a.2a.1	USA			GS_0092P8G.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092HSK.1	2022-12-15		D	5a.2a.1	USA			GS_0092HSK.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A28M.1	2023-01-07		D	5a.2a.1	USA			GS_009A28M.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
m2-3qDrEd	2023-04-19	AG	D	5a.2a.1	Switzerland	ReVSeq	Europe	m2-3qDrEd	
GS_0096T68.1	2023-01-29		D	5a.2a.1	Germany			GS_0096T68.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Chelsea, J. D.
GS_0096T76.1	2023-02-02		D	5a.2a.1	Germany			GS_0096T76.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Chelsea, J. D.
GS_00927SV.1	2022-11-26		D	5a.2a.1	USA			GS_00927SV.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092PKT.1	2022-11-30		D	5a.2a.1	USA			GS_0092PKT.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0090493.1	2022-11-12		D	5a.2a.1	USA			GS_0090493.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092HF8.1	2022-12-21		D	5a.2a.1	USA			GS_0092HF8.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092MMR.1	2022-11-17		D	5a.2a.1	USA			GS_0092MMR.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A68H.1	2023-02-01		D	5a.2a.1	USA			GS_009A68H.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096LC3.1	2022-12-21		D	5a.2a.1	USA			GS_0096LC3.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0091M02.1	2022-12-24		D	5a.2a.1	USA			GS_0091M02.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092K7N.1	2022-12-24		D	5a.2a.1	USA			GS_0092K7N.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092L1Z.1	2022-12-20		D	5a.2a.1	USA			GS_0092L1Z.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0099ZDG.1	2023-03-29		D	5a.2a.1	USA			GS_0099ZDG.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_009AANJ.1	2023-02-16		D	5a.2a.1	USA			GS_009AANJ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092NJW.1	2022-12-27		D	5a.2a.1	USA			GS_0092NJW.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A2Y6.1	2023-01-11		D	5a.2a.1	USA			GS_009A2Y6.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092PLR.1	2022-12-26		D	5a.2a.1	USA			GS_0092PLR.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009QNGQ.1	2023-01-23		D	5a.2a.1	USA			GS_009QNGQ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092NE5.1	2022-12-03		D	5a.2a.1	USA			GS_0092NE5.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A6X4.1	2023-02-01		D	5a.2a.1	USA			GS_009A6X4.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096F4Q.1	2022-12-07		D	5a.2a.1	USA			GS_0096F4Q.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096FX3.1	2022-12-08		D	5a.2a.1	USA			GS_0096FX3.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096B6Q.1	2022-11-29		D	5a.2a.1	USA			GS_0096B6Q.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_008ZDXK.1	2022-12-19		D	5a.2a.1	USA			GS_008ZDXK.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_0092J5T.1	2022-12-30		D	5a.2a.1	USA			GS_0092J5T.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091LDB.1	2022-12-19		D	5a.2a.1	USA			GS_0091LDB.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092J9K.1	2022-12-19		D	5a.2a.1	USA			GS_0092J9K.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009LAYB.1	2022-11-28		D	5a.2a.1	USA			GS_009LAYB.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009LBAM.1	2022-11-28		D	5a.2a.1	USA			GS_009LBAM.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009QLGS.1	2023-01-17		D	5a.2a.1	USA			GS_009QLGS.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096DNP.1	2022-12-05		D	5a.2a.1	USA			GS_0096DNP.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096BMT.1	2022-11-30		D	5a.2a.1	USA			GS_0096BMT.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096BF6.1	2022-11-30		D	5a.2a.1	USA			GS_0096BF6.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096BZ3.1	2022-12-01		D	5a.2a.1	USA			GS_0096BZ3.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096D5Q.1	2022-12-04		D	5a.2a.1	USA			GS_0096D5Q.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096ED7.1	2022-12-06		D	5a.2a.1	USA			GS_0096ED7.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096K3N.1	2022-12-12		D	5a.2a.1	USA			GS_0096K3N.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096MLK.1	2022-12-28		D	5a.2a.1	USA			GS_0096MLK.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_009A120.1	2023-01-17		D	5a.2a.1	USA			GS_009A120.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00928DM.1	2022-12-02		D	5a.2a.1	USA			GS_00928DM.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00928EK.1	2022-12-02		D	5a.2a.1	USA			GS_00928EK.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092JQN.1	2022-12-18		D	5a.2a.1	USA			GS_0092JQN.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009AA4M.1	2023-03-09		D	5a.2a.1	USA			GS_009AA4M.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009AA5K.1	2023-03-09		D	5a.2a.1	USA			GS_009AA5K.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009290C.1	2022-12-04		D	5a.2a.1	USA			GS_009290C.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VSAP.1	2022-11-05		D	5a.2a.1	USA			GS_008VSAP.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A489Q.1	2023-01-11		D	5a.2a.1	USA			GS_00A489Q.1	Heibeck, N.; Garrigues, J. M.; Green, N. M.
GS_00902S4.1	2022-11-29		D	5a.2a.1	USA			GS_00902S4.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VQSS.1	2022-08-30		D	5a.2a.1	USA			GS_008VQSS.1	Wentworth, D.; Barnes, J.; Garten, R.
GS_00903T1.1	2022-11-20		D	5a.2a.1	USA			GS_00903T1.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092LUC.1	2022-12-19		D	5a.2a.1	USA			GS_0092LUC.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009LARR.1	2022-12-12		D	5a.2a.1	USA			GS_009LARR.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00929RV.1	2022-11-25		D	5a.2a.1	USA			GS_00929RV.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091NRJ.1	2022-12-29		D	5a.2a.1	USA			GS_0091NRJ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092PRF.1	2022-12-29		D	5a.2a.1	USA			GS_0092PRF.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A5G2.1	2023-02-03		D	5a.2a.1	USA			GS_009A5G2.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009Q4G8.1	2023-02-06		D	5a.2a.1	USA			GS_009Q4G8.1	s, W. W. F.; l, E. B.; t, J. G.; g, A. L.
GS_00905DU.1	2022-12-07		D	5a.2a.1	USA			GS_00905DU.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009QKMG.1	2022-12-26		D	5a.2a.1	USA			GS_009QKMG.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009QLXV.1	2022-12-16		D	5a.2a.1	USA			GS_009QLXV.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00903Q7.1	2022-11-02		D	5a.2a.1	USA			GS_00903Q7.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V8GV.1	2022-11-02		D	5a.2a.1	USA			GS_008V8GV.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00903GQ.1	2022-12-05		D	5a.2a.1	USA			GS_00903GQ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092KY5.1	2022-12-14		D	5a.2a.1	USA			GS_0092KY5.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008W1HX.1	2022-11-14		D	5a.2a.1	USA			GS_008W1HX.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0091LUE.1	2022-12-26		D	5a.2a.1	USA			GS_0091LUE.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096TDU.1	2023-01-03		D	5a.2a.1	Germany			GS_0096TDU.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Chelsea, J. D.
GS_008W11W.1	2022-11-09		D	5a.2a.1	USA			GS_008W11W.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_00903VX.1	2022-12-02		D	5a.2a.1	USA			GS_00903VX.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092K02.1	2022-12-02		D	5a.2a.1	USA			GS_0092K02.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A2TG.1	2023-01-05		D	5a.2a.1	USA			GS_009A2TG.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009LBMY.1	2023-01-26		D	5a.2a.1	USA			GS_009LBMY.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092CXE.1	2022-12-04		D	5a.2a.1	USA			GS_0092CXE.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092K4U.1	2022-12-12		D	5a.2a.1	USA			GS_0092K4U.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009AAX0.1	2023-03-15		D	5a.2a.1	USA			GS_009AAX0.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091MG4.1	2022-12-23		D	5a.2a.1	USA			GS_0091MG4.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091MF6.1	2022-12-23		D	5a.2a.1	USA			GS_0091MF6.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V29F.1	2022-10-12		D	5a.2a.1	USA			GS_008V29F.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V7W1.1	2022-11-03		D	5a.2a.1	USA			GS_008V7W1.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V7ZV.1	2022-11-04		D	5a.2a.1	USA			GS_008V7ZV.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V8U4.1	2022-11-07		D	5a.2a.1	USA			GS_008V8U4.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009LB7T.1	2022-11-17		D	5a.2a.1	USA			GS_009LB7T.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0090584.1	2022-11-21		D	5a.2a.1	USA			GS_0090584.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00904T0.1	2022-11-28		D	5a.2a.1	USA			GS_00904T0.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092CVJ.1	2022-12-03		D	5a.2a.1	USA			GS_0092CVJ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092HKZ.1	2022-12-02		D	5a.2a.1	USA			GS_0092HKZ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008VADZ.1	2022-11-09		D	5a.2a.1	USA			GS_008VADZ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00929QX.1	2022-12-16		D	5a.2a.1	USA			GS_00929QX.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009QNR5.1	2023-01-12		D	5a.2a.1	USA			GS_009QNR5.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V0JY.1	2022-11-02		D	5a.2a.1	USA			GS_008V0JY.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V0KW.1	2022-11-02		D	5a.2a.1	USA			GS_008V0KW.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091L8M.1	2022-12-22		D	5a.2a.1	USA			GS_0091L8M.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009A9E2.1	2023-03-06		D	5a.2a.1	USA			GS_009A9E2.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092M9G.1	2022-11-04		D	5a.2a.1	USA			GS_0092M9G.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0091ME8.1	2022-12-19		D	5a.2a.1	USA			GS_0091ME8.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009B24T.1	2022-12-26		D	5a.2a.1	USA			GS_009B24T.1	Direct Submission,
GS_009QLVZ.1	2023-01-20		D	5a.2a.1	USA			GS_009QLVZ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009VEES.1	2023-06-27		D	5a.2a.1	Australia			GS_009VEES.1	Steinig JOACHIM, E.
GS_009ZN9L.1	2023-12-18		D	5a.2a.1	USA			GS_009ZN9L.1	Lauring, A. S.; Papalambros, L. K.
GS_009SPP4.1	2023-09-25		D	5a.2a.1	Japan			GS_009SPP4.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009SPQ2.1	2023-10-01		D	5a.2a.1	Japan			GS_009SPQ2.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009ZBEM.1	2023-10-19		D	5a.2a.1	USA			GS_009ZBEM.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A0U3Q.1	2024-01-29		D	5a.2a.1	USA			GS_00A0U3Q.1	Lauring, A. S.; Papalambros, L. K.
GS_009XS12.1	2024-01-05		D	5a.2a.1	USA			GS_009XS12.1	Lauring, A. S.; Papalambros, L. K.
GS_00AVXDA.1	2023-04-11		D.3	5a.2a.1	USA			GS_00AVXDA.1	Scotch, M.; Faleye, T. O. C.; Halden, R. U.; Varsani, A.; Temitope, F. O. C.; Wright, J. M.; Kaiser, N. A.; Atherton, A.; Islas, M.
m2-xwkVbK	2023-12-27	TI	D.3	5a.2a.1	Switzerland	ReVSeq	Europe	m2-xwkVbK	
m2-kwbwf8	2023-12-26	AG	D.3	5a.2a.1	Switzerland	ReVSeq	Europe	m2-kwbwf8	
GS_00A103G.1	2024-01-30		D.3	5a.2a.1	United Kingdom			GS_00A103G.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_00A65VG.1	2024-02-08		D.3	5a.2a.1	USA			GS_00A65VG.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A4WS1.1	2023-12-14		D.3	5a.2a.1	USA			GS_00A4WS1.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00AH12J.1	2023-12-14		D.3	5a.2a.1	USA			GS_00AH12J.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009J3JG.1	2023-07-07		D.3	5a.2a.1	USA			GS_009J3JG.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009NNGU.1	2023-08-05		D.3	5a.2a.1	USA			GS_009NNGU.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009J2YP.1	2023-06-28		D.3	5a.2a.1	USA			GS_009J2YP.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009N1YG.1	2023-08-12		D.3	5a.2a.1	USA			GS_009N1YG.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009DK62.1	2023-06-06		D.3	5a.2a.1	USA			GS_009DK62.1	Nunley, E.; Xie, H.; Varela, C.; Kim, D. Y.; Goya, S.; Greninger, A.
GS_009J6M7.1	2023-06-25		D.3	5a.2a.1	USA			GS_009J6M7.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009J6EN.1	2023-07-03		D.3	5a.2a.1	USA			GS_009J6EN.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009J4BW.1	2023-07-09		D.3	5a.2a.1	USA			GS_009J4BW.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009EHTT.1	2023-07-23		D.3	5a.2a.1	USA			GS_009EHTT.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_009SQQ1.1	2023-08-17		D.3	5a.2a.1	USA			GS_009SQQ1.1	Lauring, A. S.; Papalambros, L.
GS_00A034D.1	2023-12-19		D.3	5a.2a.1	USA			GS_00A034D.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A4RC1.1	2023-12-11		D.3	5a.2a.1	USA			GS_00A4RC1.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_009SRHE.1	2023-10-09		D.3	5a.2a.1	USA			GS_009SRHE.1	Lauring, A. S.; Papalambros, L.
GS_009WTJ2.1	2023-10-24		D.3	5a.2a.1	USA			GS_009WTJ2.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009XTJ0.1	2023-12-19		D.3	5a.2a.1	USA			GS_009XTJ0.1	Lauring, A. S.; Papalambros, L. K.
GS_009WUWB.1	2023-11-26		D.3	5a.2a.1	USA			GS_009WUWB.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009Y777.1	2023-12-13		D.3	5a.2a.1	USA			GS_009Y777.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009Y6CY.1	2023-12-18		D.3	5a.2a.1	USA			GS_009Y6CY.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009X9R4.1	2023-12-24		D.3	5a.2a.1	USA			GS_009X9R4.1	Lauring, A. S.; Papalambros, L. K.
GS_00A4TA3.1	2023-10-25		D	5a.2a.1	USA			GS_00A4TA3.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008ZG6Z.1	2022-12-23		D	5a.2a.1	Germany			GS_008ZG6Z.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_008V96E.1	2022-11-01		D	5a.2a.1	USA			GS_008V96E.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0092J03.1	2022-11-01		D	5a.2a.1	USA			GS_0092J03.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0090HJ5.1	2023-01-04		D	5a.2a.1	Italy			GS_0090HJ5.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_0090GSQ.1	2023-01-09		D	5a.2a.1	Germany			GS_0090GSQ.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_009W27G.1	2023-01-09		D	5a.2a.1	Switzerland			GS_009W27G.1	
GS_00903B0.1	2022-12-07		D	5a.2a.1	USA			GS_00903B0.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0090576.1	2022-11-16		D	5a.2a.1	USA			GS_0090576.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00927FJ.1	2022-11-13		D	5a.2a.1	USA			GS_00927FJ.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
